Date,Silver $/oz,months
Jan 2021,26.38,0
Feb 2021,29.45,1
March 2021,26.27,2
April 2021,24.95,3
May 2021,26.33,4
June 2021,27.72,5
July 2021,26.46,6
Aug 2021,24.32,7
Sep 2022,23.64,8
Nov 2021,25.24,9
Dec 2021,22.86,10
Jan 2022,24.29,11
Feb 2022,22.52,12
March 2022,25.02,13
April 2022,26.02,14
May 2022,25.02,15
June 2022,22.36,16
July 2022,19.85,17
Aug 2022,20.68,18
Sep 2022,18.05,19
Oct 2022,19.02,20
Nov 2022,19.15,21
Dec 2022,22.69,22
Jan 2023,24.17,23
Feb 2023,22.18,24
March 2023,21.27,25
April 2023,24.75,26
May 2023,23.48,27
June 2023,24.19,28
